NaN,NaN,7,14,234,239,262,281,393,399
1,0,-0.0105738144501244,-0.0525843101531078,-0.0614525623955342,-0.0770664348479543,-1.21222078957529,-1.55176678850346,-1.308351365427,-1.63087455763611
2,6,-3.09057379236186,-2.0778070080267,-2.11625194147519,-1.86917574024165,-1.83902873972128,-1.76772519873031,-2.22931273211998,-2.08348257245866
3,7,-3.27148252910674,-1.9922451785369,-2.02652797716815,-1.88078538895737,NaN,NaN,NaN,NaN
4,8,NaN,-1.81778247117103,-1.71976212804804,-1.70827911529779,-3.92691433593149,NaN,NaN,NaN
5,15,NaN,-2.13733750297331,-2.62273979493745,-2.1488552442392,NaN,NaN,NaN,NaN
6,13,NaN,-2.3729388215254,-2.82223728590937,-2.41009650609212,NaN,NaN,NaN,NaN
7,19,NaN,-2.58884665135361,-2.62273979493745,-2.30459663038145,NaN,NaN,NaN,NaN
8,16,NaN,-3.03742443909728,NaN,-3.48875231433814,NaN,NaN,NaN,NaN
9,25,NaN,-3.15287890593903,NaN,NaN,NaN,NaN,NaN,NaN
10,1,NaN,NaN,-2.11625194147519,-1.83610029016449,-0.381300043534217,-0.27054192704349,-0.436576694017573,-0.328286622274266
11,14,NaN,NaN,-2.82223728590937,NaN,NaN,NaN,NaN,NaN
12,22,NaN,NaN,-2.82223728590937,NaN,NaN,NaN,NaN,NaN
13,43,NaN,NaN,-2.82223728590937,NaN,NaN,NaN,NaN,NaN
14,24,NaN,NaN,-3.20216416231076,NaN,NaN,NaN,NaN,NaN
15,36,NaN,NaN,NaN,-2.49804094686991,NaN,NaN,NaN,NaN
16,18,NaN,NaN,NaN,-2.85572371684172,NaN,NaN,NaN,NaN
17,2,NaN,NaN,NaN,NaN,-1.04022359554132,-0.959928560665114,-0.608772813421808,-1.42683206276768
18,3,NaN,NaN,NaN,NaN,-1.13457358466281,-1.09475710479806,-0.898322714091888,-1.10167534149786
19,9,NaN,NaN,NaN,NaN,-1.1893035463047,-1.27797744316359,-1.83646709430484,-1.84405970029148
20,5,NaN,NaN,NaN,NaN,-1.45236288080028,-1.30979798912645,-1.10627144076221,-0.806831398051292
21,29,NaN,NaN,NaN,NaN,-1.7046333137704,-1.93656413238599,-1.53795040201692,-1.99617253482072
22,10,NaN,NaN,NaN,NaN,-1.74670980708563,-1.95353323288668,NaN,NaN
23,4,NaN,NaN,NaN,NaN,-1.89377080622507,-2.08605677901541,NaN,NaN
24,23,NaN,NaN,NaN,NaN,-2.27858276588022,-3.24037102359659,NaN,NaN
25,30,NaN,NaN,NaN,NaN,-2.88678363995657,-2.46685276688718,NaN,NaN
26,21,NaN,NaN,NaN,NaN,-3.11822166894509,NaN,NaN,NaN
